Artist,Song,Sentiment,Followers,Popularity,Genre
backstreet boys,climbing the walls,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,how to break a heart,Negative,3155018.0,69.0,"['boy band', 'europop']"
dean martin,i will,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,tell your mother hello,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,be honest with me,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,"my rifle, my pony and me",Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,change your mind,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,together again,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,fragile heart,Negative,3155018.0,69.0,"['boy band', 'europop']"
backstreet boys,everytime i close my eyes,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,who's your little who-zis,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,just the other side of nowhere,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,new love,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
backstreet boys,the perfect fan,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,clinging vine,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,the dance,Positive,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,stupid boy,Negative,58554324.0,94.0,['pop']
dean martin,captured,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,writing songs about you,Positive,58554324.0,94.0,['pop']
backstreet boys,trust me,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,singing forever,Negative,3155018.0,69.0,"['boy band', 'europop']"
dean martin,with my eyes wide open,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,you see friends (i see lovers),Positive,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,bad blood (remix),Negative,58554324.0,94.0,['pop']
dean martin,makin' love ukelele style,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,pretty baby,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,amor mio,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,every street's a boulevard (in old new york),Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,baby obey me,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,long live,Positive,58554324.0,94.0,['pop']
dean martin,so long baby,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,"we never talk much, we just sit around",Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,...ready for it? (bloodpopâ® remix),Positive,58554324.0,94.0,['pop']
taylor swift,never fade,Positive,58554324.0,94.0,['pop']
dean martin,how about you / blue moon,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,just do it,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,"darling, je vous aime beaucoup",Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,it's the talk of the town,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,dream a little dream of me,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,let me know,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,take good care of her,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,thank you,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,love is all that matters,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,kiss the world goodbye,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,chateau,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
dean martin,zing-a zing-a zing boom,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,down came the rain,Positive,58554324.0,94.0,['pop']
dean martin,what would you do without me,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,you're breaking my heart,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,beautiful eyes,Positive,58554324.0,94.0,['pop']
dean martin,detour,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
westlife,i do,Positive,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,hopelessly devoted to you,Positive,58554324.0,94.0,['pop']
taylor swift,i wished on a plane,Positive,58554324.0,94.0,['pop']
westlife,if your heart's not in it,Negative,3155018.0,69.0,"['boy band', 'europop']"
westlife,swear it again,Positive,3155018.0,69.0,"['boy band', 'europop']"
dean martin,until,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,siesta fiesta,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,donde quieras yo ire (anywhere for you),Neutral,4721166.0,74.0,"['boy band', 'dance pop']"
backstreet boys,can we get back to love again,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,wait for me,Positive,58554324.0,94.0,['pop']
taylor swift,point of view,Positive,58554324.0,94.0,['pop']
dean martin,it won't cool off,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,ten thousand bedrooms,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,any time,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,ballin' the jack,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,straight through my heart,Positive,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,daylight,Positive,58554324.0,94.0,['pop']
taylor swift,love story,Negative,58554324.0,94.0,['pop']
backstreet boys,"hey, mr. dj (keep playin' that song)",Positive,4721166.0,74.0,"['boy band', 'dance pop']"
taylor swift,girl at home,Positive,58554324.0,94.0,['pop']
dean martin,the lucky song,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
taylor swift,hey stephen,Positive,58554324.0,94.0,['pop']
dean martin,heart over mind,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
dean martin,night train to memphis,Negative,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
backstreet boys,darlin',Positive,4721166.0,74.0,"['boy band', 'dance pop']"
westlife,sound of a broken heart,Positive,3155018.0,69.0,"['boy band', 'europop']"
taylor swift,that's when,Negative,58554324.0,94.0,['pop']
dean martin,you've got me crying again,Positive,1359975.0,66.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
