Artist,Song,Sentiment,Followers,Popularity,Genre
backstreet boys,climbing the walls,Positive,4721166.0,74.0,boy band
westlife,how to break a heart,Negative,3155018.0,69.0,boy band
dean martin,i will,Positive,1359975.0,66.0,adult standards
dean martin,tell your mother hello,Positive,1359975.0,66.0,adult standards
dean martin,be honest with me,Positive,1359975.0,66.0,adult standards
dean martin,"my rifle, my pony and me",Positive,1359975.0,66.0,adult standards
westlife,change your mind,Positive,3155018.0,69.0,boy band
dean martin,together again,Positive,1359975.0,66.0,adult standards
westlife,fragile heart,Negative,3155018.0,69.0,boy band
backstreet boys,everytime i close my eyes,Positive,4721166.0,74.0,boy band
dean martin,who's your little who-zis,Positive,1359975.0,66.0,adult standards
dean martin,just the other side of nowhere,Negative,1359975.0,66.0,adult standards
backstreet boys,new love,Positive,4721166.0,74.0,boy band
backstreet boys,the perfect fan,Positive,4721166.0,74.0,boy band
dean martin,clinging vine,Negative,1359975.0,66.0,adult standards
westlife,the dance,Positive,3155018.0,69.0,boy band
taylor swift,stupid boy,Negative,58554324.0,94.0,pop
dean martin,captured,Positive,1359975.0,66.0,adult standards
taylor swift,writing songs about you,Positive,58554324.0,94.0,pop
backstreet boys,trust me,Positive,4721166.0,74.0,boy band
westlife,singing forever,Negative,3155018.0,69.0,boy band
dean martin,with my eyes wide open,Negative,1359975.0,66.0,adult standards
westlife,you see friends (i see lovers),Positive,3155018.0,69.0,boy band
taylor swift,bad blood (remix),Negative,58554324.0,94.0,pop
dean martin,makin' love ukelele style,Positive,1359975.0,66.0,adult standards
dean martin,pretty baby,Positive,1359975.0,66.0,adult standards
dean martin,amor mio,Positive,1359975.0,66.0,adult standards
dean martin,every street's a boulevard (in old new york),Positive,1359975.0,66.0,adult standards
dean martin,baby obey me,Negative,1359975.0,66.0,adult standards
taylor swift,long live,Positive,58554324.0,94.0,pop
dean martin,so long baby,Positive,1359975.0,66.0,adult standards
dean martin,"we never talk much, we just sit around",Positive,1359975.0,66.0,adult standards
taylor swift,...ready for it? (bloodpopâ® remix),Positive,58554324.0,94.0,pop
taylor swift,never fade,Positive,58554324.0,94.0,pop
dean martin,how about you / blue moon,Positive,1359975.0,66.0,adult standards
dean martin,just do it,Positive,1359975.0,66.0,adult standards
dean martin,"darling, je vous aime beaucoup",Positive,1359975.0,66.0,adult standards
dean martin,it's the talk of the town,Positive,1359975.0,66.0,adult standards
dean martin,dream a little dream of me,Positive,1359975.0,66.0,adult standards
dean martin,let me know,Positive,1359975.0,66.0,adult standards
dean martin,take good care of her,Positive,1359975.0,66.0,adult standards
westlife,thank you,Positive,3155018.0,69.0,boy band
dean martin,love is all that matters,Positive,1359975.0,66.0,adult standards
dean martin,kiss the world goodbye,Negative,1359975.0,66.0,adult standards
backstreet boys,chateau,Positive,4721166.0,74.0,boy band
dean martin,zing-a zing-a zing boom,Positive,1359975.0,66.0,adult standards
taylor swift,down came the rain,Positive,58554324.0,94.0,pop
dean martin,what would you do without me,Positive,1359975.0,66.0,adult standards
dean martin,you're breaking my heart,Positive,1359975.0,66.0,adult standards
taylor swift,beautiful eyes,Positive,58554324.0,94.0,pop
dean martin,detour,Negative,1359975.0,66.0,adult standards
westlife,i do,Positive,3155018.0,69.0,boy band
taylor swift,hopelessly devoted to you,Positive,58554324.0,94.0,pop
taylor swift,i wished on a plane,Positive,58554324.0,94.0,pop
westlife,if your heart's not in it,Negative,3155018.0,69.0,boy band
westlife,swear it again,Positive,3155018.0,69.0,boy band
dean martin,until,Positive,1359975.0,66.0,adult standards
dean martin,siesta fiesta,Positive,1359975.0,66.0,adult standards
backstreet boys,donde quieras yo ire (anywhere for you),Neutral,4721166.0,74.0,boy band
backstreet boys,can we get back to love again,Positive,4721166.0,74.0,boy band
taylor swift,wait for me,Positive,58554324.0,94.0,pop
taylor swift,point of view,Positive,58554324.0,94.0,pop
dean martin,it won't cool off,Positive,1359975.0,66.0,adult standards
dean martin,ten thousand bedrooms,Negative,1359975.0,66.0,adult standards
dean martin,any time,Positive,1359975.0,66.0,adult standards
dean martin,ballin' the jack,Positive,1359975.0,66.0,adult standards
backstreet boys,straight through my heart,Positive,4721166.0,74.0,boy band
taylor swift,daylight,Positive,58554324.0,94.0,pop
taylor swift,love story,Negative,58554324.0,94.0,pop
backstreet boys,"hey, mr. dj (keep playin' that song)",Positive,4721166.0,74.0,boy band
taylor swift,girl at home,Positive,58554324.0,94.0,pop
dean martin,the lucky song,Positive,1359975.0,66.0,adult standards
taylor swift,hey stephen,Positive,58554324.0,94.0,pop
dean martin,heart over mind,Positive,1359975.0,66.0,adult standards
dean martin,night train to memphis,Negative,1359975.0,66.0,adult standards
backstreet boys,darlin',Positive,4721166.0,74.0,boy band
westlife,sound of a broken heart,Positive,3155018.0,69.0,boy band
taylor swift,that's when,Negative,58554324.0,94.0,pop
dean martin,you've got me crying again,Positive,1359975.0,66.0,adult standards
westlife,no more heroes,Negative,3155018.0,69.0,boy band
dean martin,just say i love her,Positive,1359975.0,66.0,adult standards
dean martin,drinking champagne,Negative,1359975.0,66.0,adult standards
dean martin,you'll always be the one i love,Positive,1359975.0,66.0,adult standards
dean martin,"when the red, red robin comes bob, bob, bobbin' along",Positive,1359975.0,66.0,adult standards
dean martin,old yellow line,Negative,1359975.0,66.0,adult standards
dean martin,solitaire,Positive,1359975.0,66.0,adult standards
